id,sent,message_type,customer,date,week,opened,spam,bounced,delivered,clicks,conversions,campaign_name
556a882c97a0b51431b796b4,107287,Transactional,Costco,"01/03/2015 00:00:00","01/01/2015 00:00:00",17696,175,4220,95587,4216,862,Newsletter
556a882c97a0b51431b796f8,118038,Transactional,Costco,"01/10/2015 00:00:00","01/08/2015 00:00:00",19518,199,4641,113714,4821,1005,Trial
556a882c97a0b51431b796bc,586661,Marketing,Costco,"01/04/2015 00:00:00","01/01/2015 00:00:00",95846,961,23039,556969,23436,4686,"More artists, more music"
556a882c97a0b51431b796e1,111467,Transactional,Costco,"01/08/2015 00:00:00","01/01/2015 00:00:00",19145,184,4546,102527,4636,953,Newsletter
556a882c97a0b51431b796f4,588316,Marketing,Costco,"01/10/2015 00:00:00","01/08/2015 00:00:00",92709,933,24477,567341,24352,4919,30% off Limited Sale
556a882c97a0b51431b796a1,571984,Marketing,Costco,"01/01/2015 00:00:00","12/25/2014 00:00:00",97365,970,23563,508057,24624,4826,30% off Limited Sale
556a882c97a0b51431b796c1,570462,Marketing,Costco,"01/04/2015 00:00:00","01/01/2015 00:00:00",93570,980,23487,501908,24497,4502,Rewards
556a882c97a0b51431b796d7,601438,Marketing,Costco,"01/07/2015 00:00:00","01/01/2015 00:00:00",94581,989,25653,567633,24192,4910,Rewards
556a882c97a0b51431b79705,116713,Transactional,Costco,"01/12/2015 00:00:00","01/08/2015 00:00:00",19637,191,5007,111819,4665,1001,Newsletter
556a882c97a0b51431b7970c,605861,Marketing,Costco,"01/13/2015 00:00:00","01/08/2015 00:00:00",101801,1006,25027,566128,25535,4849,30% off Limited Sale
556a882c97a0b51431b7970f,613778,Marketing,Costco,"01/13/2015 00:00:00","01/08/2015 00:00:00",101919,1026,24326,540601,25534,5260,30% off Limited Sale
556a882c97a0b51431b796aa,523493,Marketing,Costco,"01/02/2015 00:00:00","01/01/2015 00:00:00",90915,845,21133,493166,20935,4527,Rewards
556a882c97a0b51431b796ce,117473,Transactional,Costco,"01/06/2015 00:00:00","01/01/2015 00:00:00",20016,197,4934,109783,4716,1005,Newsletter
556a882c97a0b51431b796e9,560815,Marketing,Costco,"01/09/2015 00:00:00","01/08/2015 00:00:00",93853,914,22772,503032,22173,4775,30% off Limited Sale
556a882c97a0b51431b79720,594229,Marketing,Costco,"01/15/2015 00:00:00","01/08/2015 00:00:00",103292,941,23574,552789,23935,5096,Rewards
556a882c97a0b51431b7973a,120727,Transactional,Costco,"01/18/2015 00:00:00","01/15/2015 00:00:00",20237,201,5230,109468,4729,1001,Trial
556a882c97a0b51431b7975f,131362,Transactional,Costco,"01/22/2015 00:00:00","01/15/2015 00:00:00",22163,211,5660,115119,5564,1065,Newsletter
556a882c97a0b51431b79768,648261,Marketing,Costco,"01/23/2015 00:00:00","01/22/2015 00:00:00",107406,1019,25661,621773,27872,5238,"More artists, more music"
556a882c97a0b51431b7977a,137086,Transactional,Costco,"01/25/2015 00:00:00","01/22/2015 00:00:00",22021,231,5734,125778,5813,1087,Newsletter
556a882c97a0b51431b79729,128008,Transactional,Costco,"01/16/2015 00:00:00","01/15/2015 00:00:00",20784,204,5184,122228,5301,1104,Trial
556a882c97a0b51431b7974d,132340,Transactional,Costco,"01/20/2015 00:00:00","01/15/2015 00:00:00",21558,211,5408,121336,5189,1135,Order
556a882c97a0b51431b79731,623311,Marketing,Costco,"01/17/2015 00:00:00","01/15/2015 00:00:00",100093,985,24402,547701,25439,5421,Rewards
556a882c97a0b51431b7978d,141587,Transactional,Costco,"01/27/2015 00:00:00","01/22/2015 00:00:00",22222,224,5839,125738,5797,1225,Trial
556a882d97a0b51431b7979d,658600,Marketing,Costco,"01/29/2015 00:00:00","01/22/2015 00:00:00",114388,1051,27912,584658,26565,5198,30% off Limited Sale
556a882c97a0b51431b79794,657517,Marketing,Costco,"01/28/2015 00:00:00","01/22/2015 00:00:00",104297,1089,27131,586328,26299,5245,30% off Limited Sale
556a882c97a0b51431b79756,670998,Marketing,Costco,"01/21/2015 00:00:00","01/15/2015 00:00:00",109326,1106,28289,621374,27964,5587,Rewards
556a882c97a0b51431b79772,629188,Marketing,Costco,"01/24/2015 00:00:00","01/22/2015 00:00:00",102753,1040,26304,581878,27147,5278,Rewards
556a882c97a0b51431b79744,629012,Marketing,Costco,"01/19/2015 00:00:00","01/15/2015 00:00:00",107690,1014,26077,608742,25231,4960,Rewards
556a882c97a0b51431b79787,138259,Transactional,Costco,"01/26/2015 00:00:00","01/22/2015 00:00:00",23071,231,5709,123380,5753,1136,Newsletter
556a882d97a0b51431b797ef,706106,Marketing,Costco,"02/08/2015 00:00:00","02/06/2015 00:00:00",118802,1122,29155,656457,28785,5969,Rewards
556a882d97a0b51431b797f1,151189,Transactional,Costco,"02/08/2015 00:00:00","02/06/2015 00:00:00",24701,252,6084,144365,6428,1237,Newsletter
556a882d97a0b51431b797be,669360,Marketing,Costco,"02/02/2015 00:00:00","01/29/2015 00:00:00",114226,1067,26341,617096,26701,5491,"More artists, more music"
556a882d97a0b51431b797b1,659536,Marketing,Costco,"02/01/2015 00:00:00","01/29/2015 00:00:00",105657,1081,26424,597764,27898,5202,30% off Limited Sale
556a882d97a0b51431b797d4,727642,Marketing,Costco,"02/05/2015 00:00:00","01/29/2015 00:00:00",125725,1149,31544,670340,29194,5805,30% off Limited Sale
556a882d97a0b51431b7981c,770213,Marketing,Costco,"02/13/2015 00:00:00","02/06/2015 00:00:00",122840,1214,31656,742596,31931,6485,"More artists, more music"
556a882d97a0b51431b797d9,716204,Marketing,Costco,"02/06/2015 00:00:00","01/29/2015 00:00:00",115652,1135,29817,664131,29753,6227,30% off Limited Sale
556a882d97a0b51431b79813,736433,Marketing,Costco,"02/12/2015 00:00:00","02/06/2015 00:00:00",120621,1260,29495,656901,31124,5933,30% off Limited Sale
556a882d97a0b51431b7980a,153972,Transactional,Costco,"02/11/2015 00:00:00","02/06/2015 00:00:00",25171,251,6375,148791,6478,1322,Newsletter
556a882d97a0b51431b797cd,143842,Transactional,Costco,"02/04/2015 00:00:00","01/29/2015 00:00:00",24172,229,6187,135306,6247,1140,Account
556a882d97a0b51431b797e8,758222,Marketing,Costco,"02/07/2015 00:00:00","02/06/2015 00:00:00",121992,1198,32236,730558,32322,6330,30% off Limited Sale
556a882d97a0b51431b79801,144767,Transactional,Costco,"02/10/2015 00:00:00","02/06/2015 00:00:00",23041,236,6019,130045,6091,1151,Trial
556a882d97a0b51431b797a1,135736,Transactional,Costco,"01/29/2015 00:00:00","01/29/2015 00:00:00",21822,217,5442,119898,5488,1167,Newsletter
556a882d97a0b51431b797c7,723321,Marketing,Costco,"02/03/2015 00:00:00","01/29/2015 00:00:00",119714,1248,28864,658756,30401,5852,30% off Limited Sale
556a882d97a0b51431b7983a,755885,Marketing,Costco,"02/16/2015 00:00:00","02/13/2015 00:00:00",130914,1190,31272,675357,31101,6023,"More artists, more music"
556a882d97a0b51431b79856,787535,Marketing,Costco,"02/19/2015 00:00:00","02/13/2015 00:00:00",131162,1279,33572,730985,31574,6471,"More artists, more music"
556a882d97a0b51431b79865,800949,Marketing,Costco,"02/21/2015 00:00:00","02/20/2015 00:00:00",131701,1319,31997,766291,31696,6766,30% off Limited Sale
